연도,지자체,전기 사용량
2019,부산 북구,28521632
2018,부산 북구,29651723
2017,부산 북구,27338778
2019,부산 사상구,52077875
2017,부산 사상구,55579405
2018,부산 사상구,54329736
2019,부산 사하구,53368060
2017,부산 사하구,51664483
2018,부산 사하구,54753566
2019,부산 서구,22783195
2017,부산 서구,21785648
2018,부산 서구,22993244
2019,부산 수영구,54142122
2018,부산 수영구,58171742
2017,부산 수영구,58257058
2019,부산 연제구,31130743
2017,부산 연제구,33590186.6
2018,부산 연제구,30792435
2019,부산 영도구,23344640
2017,부산 영도구,22765560
2018,부산 영도구,23584698
2019,부산 중구,7164150
2017,부산 중구,7724618
2018,부산 중구,7640868
2019,부산 해운대구,75869933
2017,부산 해운대구,72529069
2018,부산 해운대구,75940085
2019,세종 세종시,12471451
2017,세종 세종시,13855197
2018,세종 세종시,13388676.2
2019,울산 남구,66071037
2017,울산 남구,65983750
2018,울산 남구,69017786
2019,울산 동구,27123748
2017,울산 동구,26163292
2018,울산 동구,26939310
2019,울산 북구,37787014
2017,울산 북구,40637336
2018,울산 북구,37230616
2019,울산 울주군,97079286
2018,울산 울주군,98748104
2017,울산 울주군,101792741
2019,울산 중구,36573699
2017,울산 중구,39358920
2018,울산 중구,38208392
2019,인천 강화군,5714275
2017,인천 강화군,8423503
2018,인천 강화군,7269387
2019,인천 계양구,38428785
2017,인천 계양구,36282355
2018,인천 계양구,39930334
2019,인천 남동구,76116601
2018,인천 남동구,84146136
2017,인천 남동구,85657404
2019,인천 동구,12399033
2018,인천 동구,12878153
2017,인천 동구,12421388
2019,인천 미추홀구,60092652
2017,인천 미추홀구,57178143
2018,인천 미추홀구,61193982.54
2019,인천 부평구,59309835
2018,인천 부평구,60077433
2017,인천 부평구,68022114
2019,인천 서구,77049703
2018,인천 서구,80438260
2017,인천 서구,83980261
2019,인천 연수구,315469915
2017,인천 연수구,295581110
2018,인천 연수구,312442760
2019,인천 옹진군,827919
2017,인천 옹진군,757636
2018,인천 옹진군,907137
2019,인천 중구,5805346
2017,인천 중구,5673778
2018,인천 중구,6084248
2019,전남 강진군,2607477
2017,전남 강진군,3305596
2018,전남 강진군,2718673
2019,전남 고흥군,9646418
2018,전남 고흥군,10103260
2017,전남 고흥군,10539198
2019,전남 곡성군,7633838
2017,전남 곡성군,8335840
2018,전남 곡성군,8042624
2019,전남 광양시,39303716
2018,전남 광양시,39963356
2017,전남 광양시,40399063
2019,전남 구례군,2403093
2017,전남 구례군,2463203
2018,전남 구례군,2503575
2019,전남 나주시,13140734
2017,전남 나주시,13262187
2018,전남 나주시,13196353
2019,전남 담양군,12700223
2018,전남 담양군,12533723
2017,전남 담양군,12298584
2019,전남 목포시,40212189
2017,전남 목포시,44874837
2018,전남 목포시,44810744
2019,전남 무안군,11559762
2018,전남 무안군,11088168
2017,전남 무안군,10131338
2019,전남 보성군,6577928
2017,전남 보성군,7894010
2018,전남 보성군,6890281
2019,전남 순천시,81809150
2017,전남 순천시,81611039
2018,전남 순천시,84547649
2019,전남 신안군,4001641
2017,전남 신안군,4089807
2018,전남 신안군,4190476
2019,전남 여수시,59346533
2018,전남 여수시,65796323
2017,전남 여수시,77413825
2019,전남 영광군,29309663
2017,전남 영광군,30564426
2018,전남 영광군,31195083
2019,전남 영암군,3660101
2017,전남 영암군,4388194
2018,전남 영암군,4070193
2019,전남 완도군,6246291
2017,전남 완도군,4839363
2018,전남 완도군,6234803
2019,전남 장성군,13748873
2018,전남 장성군,14419452
2017,전남 장성군,14420389
2019,전남 장흥군,3609746
2017,전남 장흥군,6230172
2018,전남 장흥군,4601664
2019,전남 진도군,18406059
2017,전남 진도군,20660660
2018,전남 진도군,18828709
2019,전남 함평군,3082146
2018,전남 함평군,3220034
2017,전남 함평군,3026654
2019,전남 해남군,1321735
2017,전남 해남군,1476561
2018,전남 해남군,1359276
2019,전남 화순군,8941966
2017,전남 화순군,10810790
2018,전남 화순군,9734517
2019,전북 고창군,34301803
2017,전북 고창군,35693503
2018,전북 고창군,35854359
2019,전북 군산시,115420170
2017,전북 군산시,120976991
2018,전북 군산시,120384775
2019,전북 김제시,43013372
2018,전북 김제시,43872558
2017,전북 김제시,42802674
2019,전북 남원시,65850109
2018,전북 남원시,68412322
2017,전북 남원시,68380956
2019,전북 무주군,14469856
2017,전북 무주군,16642173
2018,전북 무주군,15314790
2019,전북 부안군,20990811
2017,전북 부안군,21233798
2018,전북 부안군,22071943
2019,전북 순창군,19187087
2017,전북 순창군,19936448
2018,전북 순창군,20174489
2019,전북 완주군,48145393
2017,전북 완주군,51995050
2018,전북 완주군,52593835
2019,전북 익산시,85533731
2017,전북 익산시,103535248
2018,전북 익산시,97097544
2019,전북 임실군,18252686
2017,전북 임실군,18266116
2018,전북 임실군,18648610
2019,전북 장수군,15761888
2017,전북 장수군,15895672
2018,전북 장수군,16474198
2019,전북 전주시,183979476
2017,전북 전주시,226378235
2018,전북 전주시,197520628
2019,전북 정읍시,78374144
2018,전북 정읍시,83222341
2017,전북 정읍시,85640581
2019,전북 진안군,15164436
2018,전북 진안군,15665249
2017,전북 진안군,15646662
2019,제주 서귀포시,117098227.5
2017,제주 서귀포시,124999686
2018,제주 서귀포시,125653095.8
2019,제주 제주시,243430168.6
2017,제주 제주시,249768952
2018,제주 제주시,249703934
2019,충남 계룡시,5515641
2017,충남 계룡시,4557405
2018,충남 계룡시,5545332
2019,충남 공주시,34457448
2018,충남 공주시,34717488
2017,충남 공주시,35086752
2019,충남 금산군,9295291
2017,충남 금산군,10415584
2018,충남 금산군,10064780
2019,충남 논산시,16284482
2017,충남 논산시,17071229
2018,충남 논산시,17289438
2019,충남 당진시,20741684
2018,충남 당진시,22706726
2017,충남 당진시,23395246
2019,충남 보령시,43265260
2017,충남 보령시,42533833
2018,충남 보령시,42496795
2019,충남 부여군,10919963
2017,충남 부여군,14802978
2018,충남 부여군,12090401
2019,충남 서산시,15292309
2018,충남 서산시,15958843
2017,충남 서산시,15454701
2019,충남 서천군,12754670
2018,충남 서천군,13208925
2017,충남 서천군,14753639
2019,충남 아산시,56042051
2018,충남 아산시,56289187
2017,충남 아산시,61394959
2019,충남 예산군,22202149
2017,충남 예산군,22692352
2018,충남 예산군,23195537
2019,충남 천안시,131608574
2018,충남 천안시,140097235
2017,충남 천안시,136878325
2019,충남 청양군,12863131
2017,충남 청양군,12999554
2018,충남 청양군,12802756
2019,충남 태안군,4181997
2017,충남 태안군,4170497
2018,충남 태안군,4202993
2019,충남 홍성군,11840640
2017,충남 홍성군,11718542
2018,충남 홍성군,13291026
2019,충북 괴산군,8904294
2018,충북 괴산군,9217207
2017,충북 괴산군,10482288
2019,충북 단양군,5799831
2017,충북 단양군,6663424
2018,충북 단양군,5967261
2019,충북 보은군,7386774
2018,충북 보은군,7798462
2017,충북 보은군,7807362
2019,충북 영동군,8637063
2017,충북 영동군,8651152
2018,충북 영동군,9162175
2019,충북 옥천군,7756792
2018,충북 옥천군,7693980
2017,충북 옥천군,7458007
2019,충북 음성군,16474749
2017,충북 음성군,15924561
2018,충북 음성군,16627272
2019,충북 제천시,23160250
2017,충북 제천시,23151306
2018,충북 제천시,23084135
2019,충북 증평군,20335423
2018,충북 증평군,20933985
2017,충북 증평군,20267219
2019,충북 진천군,15967282
2017,충북 진천군,15712638
2018,충북 진천군,14651455
2019,충북 청주시,57711116
2017,충북 청주시,63253278
2018,충북 청주시,57326767
2019,충북 충주시,17578271
2017,충북 충주시,24380400
2018,충북 충주시,14651238
